Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Ricardo,12 moules à muffins individuels en silicone,article-de-cuisine,unité (1un),12.99,12.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/accessoire-de-patisserie/moulecharniere/12-moules-a-muffins-individuels-en-silicone-ricardo-28826/
Ricardo,2 anneaux pour œufs et pancakes réversibles en silicone,article-de-cuisine,unité (1un),11.99,11.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/ustensile-et-accessoire/2-anneaux-ufs-et-pancakes-reversible-en-silicone-ricardo-28768/
Trudeau,2 tasses double paroi duetto 11 oz / 325 ml,article-de-cuisine,unité (2un),21.99,10.995,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/tasse-a-cafe-et-soucoupe/tasse-double-paroi-325ml-trudeau-23118/
Ricardo,24 mini moules à muffins individuels en silicone,article-de-cuisine,unité (1un),14.99,14.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/accessoire-de-patisserie/moulecharniere/24-mini-moules-a-muffins-individuels-en-silicone-ricardo-28825/
Sealock,3 Contenants plastiques carrés 170 ml,article-de-cuisine,unité (1un),3.99,3.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/contenant-et-pot/contenant-alimentaire/3-contenants-plastiques-carres-170-ml-sealock-39594/
Safdie,4 Tasses à café,article-de-cuisine,unité (1un),6.99,6.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/tasse-a-cafe-et-soucoupe/tasses-a-cafe-ensemble-par-4-safdie-29262/
Safdie,4 Tasses à café,article-de-cuisine,unité (1un),6.99,6.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/tasse-a-cafe-et-soucoupe/tasses-a-cafe-ensemble-par-4-safdie-29262/
Starfrit,4 tasses à mesurer Éco,article-de-cuisine,unité (1un),4.99,4.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/accessoire-de-cuisine/tasse-cuillere-et-balance-a-mesurer/4-tasses-a-mesurer-eco-starfrit-28531/
Johnson Rose,Adapteur pour poche à pâtisserie,article-de-cuisine,unité (1un),0.69,0.69,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/accessoire-de-patisserie/moulecharniere/adapteur-pour-poche-a-patisserie-johnson-rose-10622/
Adamo,Aiguiseur de couteaux 8 cm,article-de-cuisine,unité (1un),17.99,17.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/couteau-de-chef/aiguiseur-de-couteaux-8-cm-adamo-24061/
Edgemaker,Aiguiseur professionnel noir,article-de-cuisine,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/couteau-de-chef/couteau-professionnel/aiguiseur-professionnel-noir-edgemaker-48990/
Orly,Anti-éclabousseur 33 cm,article-de-cuisine,unité (1un),15.99,15.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/accessoire-de-cuisine/passoire/anti-eclabousseur-33-cm-orly-26818/
Sagetra,Aplatisseur de steak en fonte 4 1/4 x 8 1/4,article-de-cuisine,unité (1un),9.99,9.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/ustensile-et-accessoire/attendrisseur/aplatisseur-de-steak-en-fonte-sagetra-33127/
Ski,"Assiette 20,3 cm x 9,6 cm / 8 x 3,75",article-de-cuisine,unité (1un),1.99,1.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-8x3.75-ski-29349/
Vitrex,"Assiette blanche carrée 26 cm / 10,25 ",article-de-cuisine,unité (1un),5.49,5.49,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carre-blanche-10.25-vitrex-21246/
Vitrex,Assiette bol à pâtes en porcelaine 11 3/4'',article-de-cuisine,unité (1un),6.99,6.99,caisse (12X1un),69.99,5.832,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-bol-a-pates-en-porcelaine-11-34-vitrex-27233/
Vitrex,Assiette bol à pâtes en porcelaine 11 3/4'',article-de-cuisine,unité (1un),6.99,6.99,caisse (12X1un),69.99,5.832,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-bol-a-pates-en-porcelaine-11-34-vitrex-27233/
Ski,"Assiette carré 19,7 cm / 7,75 ''",article-de-cuisine,unité (1un),2.99,2.99,caisse (36x1un),85.99,2.389,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carree-7.75-ski-27232/
Vitrex,Assiette carré blanche 6,article-de-cuisine,unité (1un),1.99,1.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carre-blanche-6-vitrex-21239/
Vitrex,Assiette carré blanche 6,article-de-cuisine,unité (1un),1.99,1.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carre-blanche-6-vitrex-21239/
Vitrex,"Assiette carrée 10,75",article-de-cuisine,unité (1un),5.99,5.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carree-1075-vitrex-28947/
Vitrex,"Assiette carrée 10,75",article-de-cuisine,unité (1un),5.99,5.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carree-1075-vitrex-28947/
Vitrex,"Assiette carrée en porcelaine 10,5 x4",article-de-cuisine,unité (4un),4.79,1.198,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carree-en-porcelaine-105-vitrex-33977/
Vitrex,"Assiette carrée en porcelaine 10,5 x4",article-de-cuisine,unité (4un),4.79,1.198,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carree-en-porcelaine-105-vitrex-33977/
Party Couture,"Assiette carrée transparente 11,4 cm / 4,5",article-de-cuisine,unité (25un),5.69,0.228,caisse (25un),37.99,1.52,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carree-transparente-114-cm--45-party-couture-31162/
Party Couture,"Assiette carrée transparente 11,4 cm / 4,5",article-de-cuisine,unité (25un),5.69,0.228,caisse (25un),37.99,1.52,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-carree-transparente-114-cm--45-party-couture-31162/
Artika,Assiette carrée à fondue,article-de-cuisine,unité (1un),3.99,3.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-a-fondue-carre-artika-28948/
Trudeau,"Assiette creuse Parma 22,5 cm",article-de-cuisine,unité (1un),3.69,3.69,caisse (24x1un),71.99,3.0,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-creuse-parma-225-cm-trudeau-26207/
Vitrex,"Assiette rectangle 11x6,75",article-de-cuisine,unité (1un),4.99,4.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-rectangle-11x675-vitrex-21251/
Vitrex,"Assiette rectangle 14,25x6",article-de-cuisine,unité (1un),5.99,5.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-rectangle-1425x6-vitrex-21263/
Ski,"Assiette rectangle 35,5 cm x 15,5 cm / 14 '' x 6 ''",article-de-cuisine,unité (1un),6.99,6.99,caisse (12x1un),69.99,5.832,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-rectangle-14x6-ski-26986/
Ski,"Assiette rectangle 35,5 cm x 15,5 cm / 14 '' x 6 ''",article-de-cuisine,unité (1un),6.99,6.99,caisse (12x1un),69.99,5.832,https://www.mayrand.ca/fr/nos-produits/article-de-cuisine/vaisselle/assiette/assiette-rectangle-14x6-ski-26986/
