Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Angostura,Amers aromatiques 100 ml,boisson,unité (100ml),10.69,10.69,caisse (12X100ml),120.99,10.082,https://www.mayrand.ca/fr/nos-produits/boisson/cristal-et-sirop/sirop/amers-aromatiques-angostura-43862/
Trombetta,Arabica capsules compatibles Nespresso x10,boisson,unité (10un),4.29,0.429,caisse (8X10un),30.99,0.387,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-capsule/capsules-de-cafe-arabica-trombetta-37335/
Sun Med,Assaisonnement au citron 675 ml,boisson,unité (675ml),0.99,0.147,caisse (18x675ml),13.99,0.115,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/assaisonnement-au-citron-sun-med-12233/
Fever Tree,Bière de gingembre 200 ml,boisson,unité (4x200ml),5.49,137.25,caisse (6x4x200ml),29.99,0.625,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/biere-de-gingembre-fever-tree-35097/
Seibella,Boisson Bitter Cynar 1 L,boisson,unité (1L),1.69,0.169,caisse (12X1L),17.99,0.15,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-bitter-cynar-seibella-32604/
El sol,Boisson Malta El Sol 10 x 207 ml,boisson,unité (10x207ml),9.99,99.9,caisse (4X10X207ml),34.99,0.423,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-malta-el-sol-el-sol-36461/
Royal Malta,Boisson au malt 6 x 355 ml,boisson,unité (6X355ml),7.99,133.167,caisse (4X6X355ml),27.99,0.329,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-au-malt-royal-malta-28216/
Fairlee,Boisson au raisin 24 x 300 ml,boisson,N/A,N/A,N/A,caisse (24x300ml),14.99,0.208,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/boisson-au-raisin-fairlee-16582/
Rougemont,Boisson au raisin 4 x 8 x 200 ml,boisson,N/A,N/A,N/A,caisse (4x8x200ml),10.39,0.162,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/boisson-au-raisin-4-x-8-rougemont-14883/
Natur-a,Boisson aux amandes enrichie Original 946 ml,boisson,unité (946ml),2.29,0.242,caisse (12X946ml),23.99,0.211,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/boisson-damande-original-natur-a-31833/
Blue Diamond,Boisson aux amandes et vanille non sucrée 946 ml,boisson,unité (946ml),2.99,0.316,caisse (12X946ml),32.99,0.291,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/boisson-aux-amandes-et-vanille-non-sucree-blue-diamond-38705/
Califia Farms,Boisson aux amandes mélange barista 946 ml,boisson,unité (946ml),4.99,0.527,caisse (6X946ml),26.99,0.476,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/boisson-aux-amandes-melange-barista-califia-farms-24796/
