Brand                   ,Description                                                      ,Catérogie ,Format (petit)          ,Prix Total ,Prix unitaire ,Format (grand)     ,Prix Total ,Prix unitaire ,URL
Lac Brome               ,2 cuisses de canard confites congelées 330 g                     ,boucherie ,unité (330 g)           ,14.49      ,4.391         ,caisse (8x330 g)   ,115.99     ,4.394         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/2-cuisses-de-canard-confites-lac-brome-50812/
Not available           ,Agneau hache maigre 4 x 500 g                                    ,boucherie ,unité (env. 2 kg)       ,23.99      ,1.199         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/agneau/agneau-hache-maigre-congele--52487/
Famille Fontaine        ,Agneau haché maigre 375 g                                        ,boucherie ,unité (env. 1 kg)       ,19.99      ,1.999         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/agneau/agneau-hache-maigre-famille-fontaine-50843/
Not available           ,Agneau haché maigre congelé                                      ,boucherie ,unité (env. 2 kg)       ,23.99      ,1.199         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/agneau/agneau-hache-maigre-congele--53201/
Canabec                 ,Agneau à fondue chinoise congelé 200 g                           ,boucherie ,unité (200g)            ,9.49       ,4.745         ,caisse (10x200g)   ,89.99      ,4.499         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/agneau-a-fondue-chinoise-congele-canabec-50728/
Not available           ,Ailes de poulet 20 x 85 g                                        ,boucherie ,"unité (env. 1,7 kg)"   ,7.99       ,0.47          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/ailes-de-poulet-format-economique--50418/
Volailles des Cantons   ,Ailes de poulet douces congelées 1 kg                            ,boucherie ,unité (env. 1 kg)       ,14.99      ,1.499         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/aile-de-poulet-douce-cg-----kg-volailles-des-cantons-51410/
Volailles des Cantons   ,Ailes de poulet fortes congelées 1 kg                            ,boucherie ,unité (env. 1 kg)       ,14.99      ,1.499         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/aile-de-poulet-forte-cg-----kg-volailles-des-cantons-51411/
Not available           ,Ailes de poulet fraîches 8 x 125 g                               ,boucherie ,unité (env. 1 kg)       ,8.15       ,0.815         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/aile-de-poulet-frais--51418/
Canabec                 ,Autruche à fondue chinoise congelée 200 g                        ,boucherie ,unité (200g)            ,16.99      ,8.495         ,caisse (10x200g)   ,162.49     ,8.125         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/autruche-a-fondue-chinoise-congelee-canabec-50729/
Volailles des Cantons   ,Ballotine de poulet à l'italienne 500 g                          ,boucherie ,"unité (env. 0,5 kg)"   ,14.59      ,2.918         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/ballotine-poulet-a-litalienne-volailles-des-cantons-51413/
Volailles des Cantons   ,Ballotine de poulet à la portugaise 500 g                        ,boucherie ,"unité (env. 0,5 kg)"   ,14.59      ,2.918         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/ballotine-poulet-portugais-volailles-des-cantons-51412/
Not available           ,Bavette de boeuf AAA                                             ,boucherie ,unité (env. 1 kg)       ,22.95      ,2.295         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bavette-de-boeuf-aaa--50705/
Not available           ,Bavette de boeuf dénudé AAA                                      ,boucherie ,"unité (env. 1,2 kg)"   ,25.95      ,2.163         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bavette-de-boeuf-denude-aaa--50204/
Not available           ,Bavette de boeuf wagyu du Québec 170 g                           ,boucherie ,"unité (env. 0,17 kg)"  ,81.99      ,48.229        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-bavette-de-boeuf-wagyu-du-quebec--50344/
Not available           ,"Bavette dénudée bœuf 1855 1,2 kg"                               ,boucherie ,"unité (env. 1,2 kg)"   ,31.5       ,2.625         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bavette-entiere-denudee-boeuf-1855--53301/
1855                    ,Bavette entière 1855 5 kg                                        ,boucherie ,unité (env. 5 kg)       ,24.49      ,0.49          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bavette-entiere-1855-1855-50301/
Not available           ,Bifteck contre-filet 1855 340 g                                  ,boucherie ,"unité (env. 0,34 kg)"  ,37.33      ,10.979        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-contre-filet-1855--53306/
Boeuf Québec            ,Bifteck contre-filet du Québec 280 g                             ,boucherie ,unité (225G)            ,11.69      ,5.196         ,caisse (4x280g)    ,44.99      ,4.017         ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-contre-filet-qc-boeuf-quebec-56024/
Not available           ,Bifteck d'intérieur de ronde 125 g x3                            ,boucherie ,"unité (env. 0,375 kg)" ,17.61      ,4.696         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-dinterieur-de-ronde-frais-fe--50105/
Not available           ,Bifteck d'intérieur de ronde 150 g x2                            ,boucherie ,"unité (env. 0,3 kg)"   ,18.61      ,6.203         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-interieur-de-ronde-frais--51105/
Not available           ,Bifteck d'intérieur de ronde 2 x 150 g                           ,boucherie ,"unité (env. 0,3 kg)"   ,18.61      ,6.203         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-dinterieur-de-ronde-attendrie--51103/
Not available           ,Bifteck d'intérieur de ronde 250 g x2                            ,boucherie ,"unité (env. 0,5 kg)"   ,17.61      ,3.522         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-dinterieur-de-ronde-250gx2--50102/
Not available           ,Bifteck d'intérieur de ronde 3 poivres 150 g x2                  ,boucherie ,"unité (env. 0,3 kg)"   ,17.61      ,5.87          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-interieur-de-ronde-3-poivres-francais-fe--52755/
Not available           ,Bifteck d'intérieur de ronde 3 poivres 150 g x4                  ,boucherie ,"unité (env. 0,6 kg)"   ,18.61      ,3.102         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-interieur-de-ronde-3-poivres-francais--51755/
Not available           ,Bifteck d'intérieur de ronde attendrie 125 g x3                  ,boucherie ,"unité (env. 0,375 kg)" ,17.61      ,4.696         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-dinterieur-de-ronde-attendrie-fe--50103/
Not available           ,Bifteck d'intérieur de ronde pour sandwich 100 g x10             ,boucherie ,unité (env. 1 kg)       ,17.61      ,1.761         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-dinterieur-de-ronde-sandwich-fe--50104/
Not available           ,Bifteck d'intérieur de ronde pour sandwich 3 x 100 g             ,boucherie ,"unité (env. 0,3 kg)"   ,18.61      ,6.203         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-dinterieur-de-ronde-pour-sandwich--51104/
Not available           ,Bifteck de bavette de boeuf AAA                                  ,boucherie ,"unité (env. 0,225 kg)" ,25.95      ,11.533        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-bavette-de-boeuf-aaa-225g--52312/
Not available           ,Bifteck de bavette de bœuf 1855 225 g                            ,boucherie ,"unité (env. 0,225 kg)" ,32.5       ,14.444        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-bavette-de-boeuf-1855--53302/
Not available           ,Bifteck de bavette de bœuf 1855 congelé 280 g x18                ,boucherie ,unité (env. 5 kg)       ,25.72      ,0.514         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-bavette-de-boeuf-1855-congele-18x280g--53403/
Boeuf Québec            ,Bifteck de bavette du Québec 225 g                               ,boucherie ,unité (225G)            ,12.99      ,5.773         ,caisse (6x225g)    ,74.99      ,5.555         ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-bavette-qc-boeuf-quebec-56021/
Not available           ,Bifteck de contre-filet AA 220 g                                 ,boucherie ,"unité (env. 0,22 kg)"  ,24.25      ,11.023        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-contre-filet-aa--52163/
Not available           ,Bifteck de contre-filet AAA                                      ,boucherie ,unité (env. 1 kg)       ,38.95      ,3.895         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-contre-filet-aaa--52409/
Not available           ,Bifteck de contre-filet AAA congelé                              ,boucherie ,unité (env. 1 kg)       ,38.95      ,3.895         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-contre-filet-aaa-congele--50591/
Not available           ,Bifteck de contre-filet aux 3 poivres congelé 1 kg               ,boucherie ,unité (env. 1 kg)       ,21.91      ,2.191         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-contre-filet-aux-3-poivres-congele--52869/
Not available           ,Bifteck de contre-filet congelé 24 x 170 g                       ,boucherie ,"unité (env. 4,08 kg)"  ,17.59      ,0.431         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-contre-filet-bout-congele-24x170g--50518/
Not available           ,Bifteck de contre-filet de boeuf wagyu du Québec frais           ,boucherie ,"unité (env. 0,34 kg)"  ,147.99     ,43.526        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-contre-filet-boeuf-wagyu-quebec-frais--50622/
Not available           ,Bifteck de côte AA 340 g                                         ,boucherie ,"unité (env. 0,34 kg)"  ,28.64      ,8.424         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-cote-de-boeuf-aa--53293/
Not available           ,Bifteck de côte de bœuf 1855 340 g                               ,boucherie ,"unité (env. 0,34 kg)"  ,48.99      ,14.409        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-cote-de-buf-1855--52842/
Boeuf Québec            ,Bifteck de côte du Québec 340 g                                  ,boucherie ,unité (340G)            ,13.99      ,4.115         ,caisse (6x340g)    ,81.99      ,4.019         ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-cote-qc-boeuf-quebec-56022/
Not available           ,Bifteck de faux filet AA 280 g                                   ,boucherie ,"unité (env. 0,28 kg)"  ,31.99      ,11.425        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-faux-filet-de-boeuf-aa--50131/
Not available           ,Bifteck de faux filet de boeuf AA 340 g                          ,boucherie ,"unité (env. 0,34 kg)"  ,24.99      ,7.35          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-faux-filet-de-boeuf-aa--50557/
Not available           ,Bifteck de faux filet de bœuf 1855 340 g                         ,boucherie ,"unité (env. 0,34 kg)"  ,51.99      ,15.291        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-faux-filet-de-boeuf-1855--50133/
Not available           ,Bifteck de faux-filet frais 200 g                                ,boucherie ,unité (env. 1 kg)       ,22.99      ,2.299         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/biftek-faux-filet-200g-fr--52351/
Not available           ,Bifteck de faux-filet utilité 125 g  x4                          ,boucherie ,unité (env. 1 kg)       ,15.87      ,1.587         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-faux-filet-utilite-format-economique--50150/
Not available           ,Bifteck de filet mignon 225 g x2                                 ,boucherie ,"unité (env. 0,45 kg)"  ,31.98      ,7.107         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-filet-mignon-utilite--50509/
Not available           ,Bifteck de filet mignon AA congelé 225 g x12                     ,boucherie ,"unité (env. 2,7 kg)"   ,48.99      ,1.814         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-filet-mignon-aa-congele-225gx12--50507/
Not available           ,Bifteck de filet mignon bacon 140 g x2                           ,boucherie ,"unité (env. 0,28 kg)"  ,18.66      ,6.664         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-filet-mignon-bacon-congele--51509/
Not available           ,Bifteck de filet mignon frais 200 g                              ,boucherie ,unité (env. 1 kg)       ,42.25      ,4.225         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/biftek-filet-mignon-200g-fr--52349/
1855                    ,Bifteck de macreuse 1855 225 g                                   ,boucherie ,"unité (env. 0,225 kg)" ,20.78      ,9.236         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-macreuse-1855-1855-51543/
Not available           ,Bifteck de macreuse congelé 225 g x18                            ,boucherie ,unité (env. 4 kg)       ,17.81      ,0.445         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-macreuse-1855-congele-18x225g--53230/
Not available           ,Bifteck de macreuse de boeuf wagyu du Québec frais               ,boucherie ,"unité (env. 0,26 kg)"  ,94.99      ,36.535        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-de-macreuse-de-boeuf-wagyu-du-quebec-frais--50621/
Not available           ,Bifteck de surlonge de porc 12 à 20 tranches                     ,boucherie ,unité (env. 1 kg)       ,8.63       ,0.863         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/porc/bifteck-de-surlonge-de-porc--50275/
Not available           ,Bifteck de surlonge frais 200 g                                  ,boucherie ,unité (env. 1 kg)       ,17.99      ,1.799         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/biftek-surlonge-200g-fr--52350/
Not available           ,Bifteck filet mignon 1855 225 g x2                               ,boucherie ,"unité (env. 0,225 kg)" ,59.99      ,26.662        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-filet-mignon-1855--52363/
Not available           ,"Bifteck tomahawk de bœuf vieilli AAA 1,5 kg"                    ,boucherie ,"unité (env. 1,5 kg)"   ,36.65      ,2.443         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-tomahawk-de-buf-vieilli-aaa-qc--52020/
Canabec                 ,Bison à fondue chinoise congelé 200 g                            ,boucherie ,unité (200g)            ,11.79      ,5.895         ,caisse (10x200g)   ,111.29     ,5.565         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/bison-a-fondue-chinoise-congele-canabec-50722/
Not available           ,Bloc de foie gras de canard 200 g                                ,boucherie ,unité (200g)            ,14.99      ,7.495         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/bloc-de-foie-gras-de-canard--50846/
Not available           ,Boeuf haché mi-maigre congelé                                    ,boucherie ,unité (env. 2 kg)       ,8.99       ,0.45          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-hache-mi-maigre-congele--50053/
