Brand                   ,Description                                                          ,Catérogie   ,Format (petit)         ,Prix Total ,Prix unitaire ,Format (grand)     ,Prix Total ,Prix unitaire ,URL
Johnny                  ,1/4 de jambon cuit à l'italienne 2 kg                                ,charcuterie ,unité (env. 2 kg)      ,9.99       ,0.5           ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/jambon/jambon-italien-14-johnny-20777/
Delpeyrat               ,2 Cuisses de canard confit 550 g                                     ,charcuterie ,unité (550g)           ,23.99      ,4.362         ,caisse (8X550g)    ,167.99     ,3.818         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/2-cuisses-de-canard-confit-delpeyrat-28434/
Piaceri d'Italia        ,Antipasto classico tranché 100 g                                     ,charcuterie ,unité (100g)           ,6.29       ,6.29          ,caisse (10x100g)   ,47.99      ,4.799         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/prosciutto/antipasto-classico-tranche-piaceri-ditalia-26638/
Piaceri d'Italia        ,Antipasto tranché 100 g                                              ,charcuterie ,unité (100g)           ,5.99       ,5.99          ,caisse (10x100g)   ,52.99      ,5.299         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/antipasto-tranche-piaceri-ditalia-26658/
Arahova                 ,Assortiment de trempettes 500 g                                      ,charcuterie ,unité (500g)           ,6.99       ,1.398         ,caisse (6x500g)    ,39.99      ,1.333         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/hummus-et-trempette/assortiment-de-trempettes-arahova-06923/
Fontaine Santé          ,Baba Gannouj 260 g                                                   ,charcuterie ,unité (260g)           ,3.69       ,1.419         ,caisse (12x260g)   ,37.99      ,1.218         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/hummus-et-trempette/baba-gannouj-fontaine-sante-35100/
Prince                  ,Bacon Spalding 500 g                                                 ,charcuterie ,unité (500g)           ,3.89       ,0.778         ,caisse (24X500g)   ,80.99      ,0.675         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-spalding-prince-20919/
Salamico                ,Bacon au paprika                                                     ,charcuterie ,"unité (env. 2,5 kg)"  ,12.99      ,0.52          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-paprika-salamico-35474/
Du breton               ,Bacon biologique tranché 250 g                                       ,charcuterie ,unité (250g)           ,7.99       ,3.196         ,caisse (18x250g)   ,126.99     ,2.822         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-bio-tranche-du-breton-29788/
Lafleur                 ,Bacon cuit en flocons 75 g                                           ,charcuterie ,unité (75g)            ,4.99       ,6.653         ,caisse (12x75g)    ,49.99      ,5.554         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-cuit-en-flocon-lafleur-29469/
Maple Lodge             ,Bacon de poulet halal 375 g                                          ,charcuterie ,unité (375g)           ,4.79       ,1.277         ,caisse (12x375g)   ,52.99      ,1.178         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-halal/bacon-au-poulet-halal-maple-lodge-01038/
Gaspésien               ,"Bacon entièrement cuit 1,9 kg"                                      ,charcuterie ,"unité (env. 1,9 kg)"  ,14.99      ,0.789         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-entierement-cuit-gaspesien-22553/
Salamico                ,Bacon fumé au poivre noir                                            ,charcuterie ,"unité (env. 2,5 kg)"  ,12.99      ,0.52          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-au-poivre-noir-salamico-37652/
Salamico                ,"Bacon fumé forêt noire 2,5 kg"                                      ,charcuterie ,"unité (env. 2,5 kg)"  ,12.99      ,0.52          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-foret-noire-salamico-35470/
Olymel                  ,Bacon fumé naturellement en tranches 375 g                           ,charcuterie ,unité (375g)           ,4.79       ,1.277         ,caisse (24X375g)   ,108.99     ,1.211         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-sel-reduit-en-tranches-olymel-26633/
Lafleur                 ,Bacon pré-cuit 90 g                                                  ,charcuterie ,unité (90g)            ,6.99       ,7.767         ,caisse (12X90g)    ,74.99      ,6.944         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-pre-cuit-lafleur-42308/
Lafleur                 ,Bacon précuit teneur réduite en sodium 90 g                          ,charcuterie ,unité (90g)            ,6.99       ,7.767         ,caisse (12x90g)    ,74.99      ,6.944         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-pre-cuit-teneur-reduite-en-sodium-lafleur-29468/
Salamico                ,Bacon régulier                                                       ,charcuterie ,"unité (env. 2,5 kg)"  ,12.99      ,0.52          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-regulier-salamico-35472/
Prince                  ,Bacon régulier 500 g                                                 ,charcuterie ,unité (500g)           ,6.69       ,1.338         ,caisse (24x500g)   ,148.99     ,1.242         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-regulier-prince-00972/
Olymel                  ,Bacon saveur de fumée de bois de pommier 375 g                       ,charcuterie ,unité (375g)           ,4.79       ,1.277         ,caisse (24x375g)   ,108.99     ,1.211         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-pomier-sel-de-mer-olymel-29470/
Olymel                  ,Bacon tranché 375 g                                                  ,charcuterie ,unité (375g)           ,4.79       ,1.277         ,caisse (24X375g)   ,108.99     ,1.211         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-olymel-30192/
Lafleur                 ,Bacon tranché 500 g                                                  ,charcuterie ,unité (500g)           ,5.99       ,1.198         ,caisse (24X500g)   ,137.99     ,1.15          ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-tranche-lafleur-29757/
Olymel                  ,Bacon tranché en vrac coupe du centre 16/18 5 kg                     ,charcuterie ,N/A                    ,N/A        ,N/A           ,caisse (5kg)       ,65.99      ,1.32          ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-tranche-vrac-coupe-du-centre-1618-olymel-31450/
Olymel                  ,Bacon à l'érable tranché 375 g                                       ,charcuterie ,unité (375g)           ,4.79       ,1.277         ,caisse (24X375g)   ,108.99     ,1.211         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-a-lerable-tranche-olymel-26634/
Fumagalli               ,Bajoue de porc salé à sec assaisonné 1 kg                            ,charcuterie ,unité (env. 1 kg)      ,26.99      ,2.699         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bajoue-de-porc-sale-a-sec-assaisonne-fumagalli-21571/
Au P'TIT Marché         ,Bisque de homard 275 g                                               ,charcuterie ,unité (275g)           ,2.99       ,1.087         ,caisse (12x275g)   ,40.99      ,1.242         ,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/Fruits-de-mer-divers-surgeles/bisque-de-homard-au-ptit-marche-53056/
Maison Fayard           ,Bloc de foie gras d'oie 130 g                                        ,charcuterie ,unité (130g)           ,15.99      ,12.3          ,caisse (12x130g)   ,173.99     ,11.153        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-doie-maison-fayard-28473/
Delpeyrat               ,Bloc de foie gras de canard 120 g                                    ,charcuterie ,unité (120g)           ,14.99      ,12.492        ,caisse (12X120g)   ,151.99     ,10.555        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-delpeyrat-28437/
Maison Fayard           ,Bloc de foie gras de canard 130 g                                    ,charcuterie ,unité (130g)           ,15.99      ,12.3          ,caisse (12X130g)   ,173.99     ,11.153        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-maison-fayard-28472/
Maison Fayard           ,Bloc de foie gras de canard 65 g                                     ,charcuterie ,unité (65g)            ,9.99       ,15.369        ,caisse (20x65g)    ,169.99     ,13.076        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-maison-fayard-28477/
Maison Fayard           ,Bloc de foie gras de canard 65 g                                     ,charcuterie ,unité (65g)            ,9.99       ,15.369        ,caisse (20x65g)    ,169.99     ,13.076        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-maison-fayard-28477/
