Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Yoshi,"Assiette argent rectangulaire 25,4 cm x 15,2 cm x10",emballage,unité (10un),9.79,0.979,caisse (12x10un),99.99,0.833,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-transparente-rectangulaire-10x6.5-yoshi-15772/
Classic Collect,"Assiette blanche avec bande argent 25,4 cm x10",emballage,unité (10un),7.99,0.799,caisse (12X10un),79.99,0.667,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-avec-bande-argentee-1025-classic-collect-34797/
Classic Collect,Assiette blanche avec bande or 19 cm x10,emballage,unité (10un),3.99,0.399,caisse (12X10un),38.99,0.325,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-avec-bande-doree-75-classic-collect-34796/
Classic Collect,"Assiette blanche avec bande or 25,4 cm x10",emballage,unité (10un),7.99,0.799,caisse (12X10un),79.99,0.667,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-avec-bande-doree-1025-classic-collect-34798/
Classic Collect,Assiette blanche avec bordure argent 19 cm x10,emballage,unité (10un),3.99,0.399,caisse (12X10un),38.99,0.325,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-avec-bordure-argentee-75-classic-collect-34795/
Party Couture,Assiette blanche carrée pour petits fours x12,emballage,unité (12un),2.69,0.224,caisse (24X12un),51.99,0.181,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-carree-pour-petits-fours-x12-party-couture-27787/
Party Couture,Assiette blanche carrée pour petits fours x12,emballage,unité (12un),2.69,0.224,caisse (24X12un),51.99,0.181,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-carree-pour-petits-fours-x12-party-couture-27787/
Polaronde,"Assiette blanche en plastique 15,2 cm / 6 x125",emballage,unité (125un),15.99,0.128,caisse (8x125un),119.99,0.12,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-en-plastique-6-polaronde-18831/
Polaronde,"Assiette blanche en plastique 22,9 cm / 9 x125",emballage,unité (125un),18.99,0.152,caisse ,1519.19,N/A,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-en-plastique-9-polaronde-17854/
511 Food Service,Assiette blanche ovale jetable x125,emballage,unité (125S),26.99,0.216,caisse (2x125un),45.99,0.184,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-ovale-511-food-service-25725/
Yoshi,"Assiette blanche rectangulaire 17,8 cm x 12,7 cm x10",emballage,unité (10un),5.29,0.529,caisse (12x10un),55.99,0.467,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-rectangulaire-75x55-x10-yoshi-15783/
Yoshi,"Assiette blanche rectangulaire 17,8 cm x 12,7 cm x10",emballage,unité (10un),5.29,0.529,caisse (12x10un),55.99,0.467,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-rectangulaire-75x55-x10-yoshi-15783/
Yoshi,"Assiette blanche rectangulaire 30,5 cm x 17,8 cm x10",emballage,unité (10un),9.79,0.979,caisse (12x10un),99.99,0.833,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-blanche-rectangulaire-10x65-yoshi-15771/
