Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Sun Med,"Abricots pelés en moitié 2,84 L",epicerie,unité (2.84L),7.49,0.264,caisse (6X2.84L),42.99,0.252,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/abricots-peles-en-moitie-sun-med-18514/
Rose Hill,"Ail en poudre 2,7 kg",epicerie,unité (2.7kg),48.99,1.814,caisse (2X2.7kg),91.99,1.704,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-en-poudre-rose-hill-39169/
Rose Hill,"Ail en poudre 2,7 kg",epicerie,unité (2.7kg),48.99,1.814,caisse (2X2.7kg),91.99,1.704,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-en-poudre-rose-hill-39169/
Rose Hill,"Ail granulé 3,2 kg",epicerie,unité (3.2kg),49.99,1.562,caisse (2X3.2kg),96.99,1.515,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-granule-rose-hill-38168/
Rose Hill,Ail granulé 640 g,epicerie,unité (640g),9.99,1.561,caisse (6X640g),56.99,1.484,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-granule-rose-hill-38388/
Club House,Ail émincé 160 g,epicerie,unité (160g),8.99,5.619,caisse (6x160g),53.99,5.624,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-emince-club-house-31913/
Rose Hill,"Ail émincé 2,7 kg",epicerie,N/A,N/A,N/A,caisse (6x3lb),69.99,0.857,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-emince-rose-hill-16588/
Rose Hill,"Ail émincé 2,7 kg",epicerie,unité (2.7kg),41.99,1.555,caisse (2X2.7kg),79.99,1.481,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-emince-rose-hill-31900/
Rose Hill,"Ail émincé 2,7 kg",epicerie,unité (2.7kg),41.99,1.555,caisse (2X2.7kg),79.99,1.481,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/ail-emince-rose-hill-31900/
Fresh gourmet,Amandes tranchées grillées,epicerie,unité (99g),4.49,4.535,caisse (8x99g),29.99,3.787,https://www.mayrand.ca/fr/nos-produits/epicerie/vinaigrette-et-crouton/croutons/amandes-tranchees-grillees-fresh-gourmet-35885/
Fresh gourmet,Amandes tranchées rôties au miel 99 g,epicerie,unité (99g),4.49,4.535,caisse (8x99g),29.99,3.787,https://www.mayrand.ca/fr/nos-produits/epicerie/vinaigrette-et-crouton/croutons/amandes-tranchees-roties-au-miel-fresh-gourmet-35881/
Agrocan,"Ananas broyé 2,84 L",epicerie,unité (2.84L),9.99,0.352,caisse (6X2.84L),55.99,0.329,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/fruits-en-conserve-et-gelees/ananas-broye-agrocan-41773/
Agrocan,Ananas en morceaux 540 ml,epicerie,unité (540ML),2.29,0.424,caisse (24X540ML),48.99,0.378,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/fruits-en-conserve-et-gelees/ananas-morc-agrocan---24x540ml-agrocan-06780/
Cedar,Ananas en morceaux dans du sirop léger 540 ml,epicerie,unité (540ml),1.69,0.313,caisse (24X540ml),33.79,0.261,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/fruits-en-conserve-et-gelees/ananas-en-morceaux-dans-du-sirop-leger-cedar-17995/
Cedar,Ananas en morceaux dans du sirop léger 540 ml,epicerie,unité (540ml),1.69,0.313,caisse (24X540ml),33.79,0.261,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/fruits-en-conserve-et-gelees/ananas-en-morceaux-dans-du-sirop-leger-cedar-17995/
Del Monte,Ananas en tranches dans leur jus 398 ml,epicerie,unité (398ml),1.99,0.5,caisse (24x398ml),39.99,0.419,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/fruits-en-conserve-et-gelees/ananas-en-tranches-dans-leur-jus-del-monte-02873/
Agrocan,"Ananas tranché dans un sirop léger 2,84 L",epicerie,unité (2.84L),8.99,0.317,caisse (6X2.84L),45.99,0.27,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/fruits-en-conserve-et-gelees/ananas-tranche-dans-un-sirop-leger-agrocan-41772/
Agrocan,Ananas tranchés dans un sirop léger 540 ml,epicerie,unité (540ml),2.49,0.461,caisse (24x540ml),51.99,0.401,https://www.mayrand.ca/fr/nos-produits/epicerie/fruits-en-conserve/fruits-en-conserve-et-gelees/ananas-tranche-agrocan-16147/
Rose Hill,Aneth hachée 140 g,epicerie,unité (140g),6.99,4.993,caisse (6X140g),39.99,4.761,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/aneth-hachee-rose-hill-38331/
Regal,Animaux assortis en chocolat pour Pâques 150 g,epicerie,unité (125g),2.49,1.992,caisse (24x125g),57.99,1.933,https://www.mayrand.ca/fr/nos-produits/epicerie/confiserie/chocolat/chocolat-de-paques-animaux-assortis-regal-34184/
Rose Hill,Anis entier 420 g,epicerie,unité (420g),12.99,3.093,caisse (6X420g),69.99,2.777,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/anis-entier-rose-hill-35973/
Rose Hill,Anis étoilé 220 g,epicerie,unité (220g),11.99,5.45,caisse (6X220g),69.99,5.302,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/anis-etoile-rose-hill-18414/
Berthelet,"Antioxydant pour pomme de terre 2,27 kg",epicerie,unité (2.27kg),10.29,0.453,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/epicerie/epice-sel-et-poivre/epice/antioxydant-pour-pomme-de-terre-berthelet-10184/
