Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Arrow,Agrafe P22 5/16,equipement,unité (1un),4.49,4.49,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/accessoire/agrafe-p22-516-arrow-10780/
Maska,"Attache verte 0,25''x4 x2000",equipement,unité (2000un),5.99,0.003,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/accessoire/attache-verte-025x4-maska-10782/
Starfrit,Autocuiseur 8 L,equipement,unité (1un),109.99,109.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/grille-panini/autocuiseur-8l-starfrit-32764/
Ricardo,Autocuiseur électrique multifonction,equipement,unité (1un),119.99,119.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/grille-panini/autocuiseur-electrique-multifonction-ricardo-28818/
Globe,Bac vaisselle gris 7,equipement,unité (1un),7.99,7.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-et-panier-a-vaisselle/bac-a-vaisselle-gris-7-globe-24535/
Sagetra,Bac à coutellerie,equipement,unité (1un),19.99,19.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-a-ustensile/bac-a-coutellerie-sagetra-23764/
Globe,"Bac à vaisselle 12,7 cm / 5 ''",equipement,unité (1un),4.99,4.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-et-panier-a-vaisselle/bac-a-vaisselle-blanc-5-globe-24534/
Globe,Bac à vaisselle gris 5,equipement,unité (1un),4.99,4.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-et-panier-a-vaisselle/bac-a-vaisselle-gris-5-globe-24536/
Sagetra,Base de crémaillère 16 compartiments,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-a-ustensile/base-de-cremaillere-16-compartiments-sagetra-42166/
Sagetra,Base de crémaillère 25 compartiments,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-a-ustensile/base-de-cremaillere-25-compartiments-sagetra-42165/
Sagetra,Base de crémaillère 36 compartiments,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-a-ustensile/base-de-cremaillere-36-compartiments-sagetra-42164/
Sagetra,Base de crémaillère pour plat et plateau,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-a-ustensile/base-de-cremaillere-pour-plat-et-plateau-sagetra-42171/
Classic,Bloc notes de repas x10,equipement,unité (10un),12.99,1.299,caisse (10X10un),109.99,1.1,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/carnet-de-facture/bloc-notes-de-repas-classic-46491/
Sagetra,Bloc poussoir pour coupe frite 1/2,equipement,unité (1un),14.99,14.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/coupe-legume/bloc-poussoir-patate-12-sagetra-22148/
Sagetra,Bloc poussoir pour coupe frite 1/4,equipement,unité (1un),14.99,14.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/coupe-legume/bloc-poussoir-patate-14-sagetra-22149/
Sagetra,Bloc poussoir pour coupe frite extra robuste 3/8,equipement,unité (1un),14.99,14.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/coupe-legume/bloc-poussoir-patate-38-sagetra-22150/
Nap-art,Bloc-note repas 1 feuille x10,equipement,unité (10un),11.99,1.199,caisse (10X10un),105.99,1.06,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/carnet-de-facture/note-repas-1-feuille-nap-art-36244/
Revelation,Bloc-notes 300 pages x5,equipement,unité (15un),5.49,0.366,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/carnet-de-facture/bloc-notes-300-pages-revelation-06829/
Adamo,Brûleur avec boyau,equipement,unité (1un),79.99,79.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/rechaud-a-soupe/bruleur-avec-boyau-adamo-26067/
Johnson Rose,Cabaret pour la monnaie,equipement,unité (1un),1.49,1.49,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/accessoire/cabaret-noir-pour-monnaie-avec-merci-4.5x6.5-johnson-rose-39542/
Nap-art,Carnet de notes de repas 1 feuille x10,equipement,unité (10un),11.99,1.199,caisse (10X10un),105.99,1.06,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/carnet-de-facture/carnet-de-notes-de-repas-1-feuille-nap-art-42120/
Nap-art,Carnet de notes de repas 2 feuilles x10,equipement,unité (10un),14.99,1.499,caisse (10X10un),139.99,1.4,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/carnet-de-facture/carnet-de-notes-de-repas-2-feuilles-nap-art-42119/
Nap-art,Carnet factures de livraison 2 feuilles x10,equipement,unité (10un),14.99,1.499,caisse (10X10un),139.99,1.4,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/carnet-de-facture/carnet-factures-de-livraison-2-feuilles-nap-art-42118/
Nap-art,Carnet factures de livraison 3 feuilles x10,equipement,unité (10un),20.99,2.099,caisse (10X10un),194.99,1.95,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/carnet-de-facture/carnet-factures-de-livraison-3-feuilles-nap-art-42117/
Sagetra,Casier à ustensiles gris 4 compartiments,equipement,unité (1un),10.99,10.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-a-ustensile/casier-a-ustensiles-gris-4-compartiments-sagetra-40081/
Revelation,Chandelles rayées assorties 9 x 24,equipement,unité (9X24un),8.99,0.999,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/accessoire/chandelles-rayees-assorties-revelation-23932/
Lapaco,"Chapeau de chef 25,4 cm / 10",equipement,unité (1un),1.99,1.99,caisse (24x1un),37.99,1.583,https://www.mayrand.ca/fr/nos-produits/equipement/vetement/chapeau-et-casquette/chapeau-du-chef-10-lapaco-27319/
