Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Mayrand CHEF,Abricots séchés 1 kg,fruits-et-legumes,unité (1kg),5.99,0.599,caisse (10X1Kg),49.99,0.5,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/noix-et-fruits-secs/noix-et-fruits-secs-vrac/abricots-seches-mayrand-chef-27848/
Cesares,Ail biologique 85 g,fruits-et-legumes,unité (85g),2.99,3.518,caisse (12x85g),27.99,2.744,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-biologique-cesares-40690/
Not available,Ail blanc d'Espagne,fruits-et-legumes,"unité (env. 0,3 kg)",11.0,3.667,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-blanc--04608/
Cesares,Ail de Chine x3,fruits-et-legumes,unité (3un),1.99,0.663,caisse (25x3un),36.99,0.493,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-cesares-03056/
Not available,Ail en purée 125 g,fruits-et-legumes,unité (125g),3.49,2.792,caisse (12x125g),39.99,2.666,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-en-puree--13729/
Derlea,Ail en purée 125 ml,fruits-et-legumes,unité (125ml),3.49,2.792,caisse (12x125ml),25.99,1.733,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-en-puree-derlea-40173/
Chant-o-vent,Ail entier 500 ml,fruits-et-legumes,unité (500ml),9.99,1.998,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-entier-fines-herbes-chant-o-vent-14046/
Chant-o-vent,Ail entier et fines herbes 250 ml,fruits-et-legumes,unité (250ml),5.79,2.316,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-entier-fines-herbes-chant-o-vent-40594/
Chant-o-vent,Ail entier pelé 250 ml,fruits-et-legumes,unité (250ml),5.79,2.316,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-entier-pele-marine-chant-o-vent-14002/
Renato,Ail extra 500 ml x12,fruits-et-legumes,N/A,N/A,N/A,caisse (12x500ml),59.79,0.996,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-extra-renato-13996/
Renato,Ail extra émincé 1 L,fruits-et-legumes,unité (1L),11.29,1.129,caisse (1L),37.49,3.749,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-extra-emince-renato-40738/
Renato,"Ail extra émincé 3,5 kg",fruits-et-legumes,N/A,N/A,N/A,caisse (3.5kg),24.49,0.7,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-extra-emince-renato-13719/
Renato,Ail frais 1 L,fruits-et-legumes,unité (1L),11.79,1.179,caisse (4X1L),39.99,1.0,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-frais-renato-40737/
Ultime,Ail frais en purée 1 L,fruits-et-legumes,N/A,N/A,N/A,caisse (1L),10.49,1.049,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-en-puree-ultime-ultime-39350/
Renato,Ail frais émincé 270 ml,fruits-et-legumes,unité (270ml),4.79,1.774,caisse (12x270ml),47.99,1.481,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-frais-emince-renato-13997/
Renato,Ail frais émincé 500 ml,fruits-et-legumes,unité (500ml),6.29,1.258,caisse (12x500ml),74.99,1.25,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-frais-emince-renato-17179/
Derlea,Ail haché 1 kg,fruits-et-legumes,unité (1kg),9.49,0.949,caisse (12X1kg),87.99,0.733,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-hache-derlea-40162/
Derlea,Ail haché 125 g,fruits-et-legumes,unité (125g),1.99,1.592,caisse (12x125g),23.99,1.599,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-hache-derlea-40160/
Cesares,Ail haché 140 ml,fruits-et-legumes,unité (140ml),1.79,1.279,caisse (12x140ml),17.29,1.029,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-hache-cesares-40085/
Not available,Ail haché dans l'huile 8 kg,fruits-et-legumes,N/A,N/A,N/A,caisse (8KG),29.99,0.375,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-hache-dans-lhuile--17825/
Not available,Ail haché dans l'huile 8 kg,fruits-et-legumes,N/A,N/A,N/A,caisse (8KG),29.99,0.375,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/pesto-trempette-et-marinade/ail-hache-dans-lhuile--17825/
Litehouse,Ail lyophilisé 45 g,fruits-et-legumes,unité (45g),4.49,9.978,caisse (6X45g),24.49,9.07,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/fines-herbes-et-vinaigrette/herbes-et-champignons-seches/ail-lyophilise-litehouse-23285/
Chant-o-vent,Ail mariné 500 ml,fruits-et-legumes,unité (500ml),9.99,1.998,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ails-marines-chant-o-vent-04098/
Not available,"Ail mauve 13,6 kg",fruits-et-legumes,N/A,N/A,N/A,caisse (13.6kg),134.99,0.993,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-mauve-despagne--13712/
Balsaï,Ail noir biologique 100 g,fruits-et-legumes,unité ,8.99,N/A,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-noir-balsai-27580/
Not available,Ail pelé 125 g,fruits-et-legumes,unité (125g),1.49,1.192,caisse (12x125g),13.99,0.933,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-pele--14003/
Cesares,Ail pelé 3 lb,fruits-et-legumes,unité (3lb),9.99,0.734,caisse (6x3lb),49.99,0.612,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-pele-sac-cesares-27289/
Not available,Ail pelé 5 lb,fruits-et-legumes,unité (5lb),16.49,0.727,caisse (4X5lb),57.99,0.639,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-pele--27286/
Not available,Ail tressé de Chine 500 g,fruits-et-legumes,unité (500g),3.99,0.798,caisse (20x500g),64.99,0.65,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-tresse--03052/
Not available,Ail éléphant 3 oz,fruits-et-legumes,unité (3oz),3.99,4.691,caisse (25x3oz),84.99,3.997,https://www.mayrand.ca/fr/nos-produits/fruits-et-legumes/legumes/ail/ail-elephant-3-oz--04609/
