Brand             ,Description                                                       ,Catérogie    ,Format (petit)          ,Prix Total ,Prix unitaire ,Format (grand)   ,Prix Total ,Prix unitaire ,URL
Artisan de Mer    ,Accras de poisson surgelés 300 g                                  ,poissonnerie ,unité (300 g)           ,10.59      ,3.53          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/autre-047bb820/accras-de-poisson-artisan-de-mer-54031/
Not available     ,Aile de raie sans peau fraîche env. 500 g                         ,poissonnerie ,"unité (env. 0,5 kg)"   ,13.21      ,2.642         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/aile-de-raie-sans-peau-fraiche--52957/
Océan de saveurs  ,Bacon de mer Fourchette bleue 30 g                                ,poissonnerie ,unité (30g)             ,9.99       ,33.3          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/fruit-de-mer/autres-fruits-de-mer/bacon-de-mer-ocean-de-saveurs-09432/
Océan de saveurs  ,Bacon de mer Fourchette bleue 35 g                                ,poissonnerie ,unité (35g)             ,9.99       ,28.543        ,caisse (12x35g)  ,91.99      ,21.902        ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/fruit-de-mer/autres-fruits-de-mer/bacon-de-mer-ocean-de-saveurs-09427/
Not available     ,Bajoue de morue congelée                                          ,poissonnerie ,"unité (env. 0,45 kg)"  ,39.99      ,8.887         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/morue/bajoue-de-morue-cg-un--50088/
Not available     ,Bar blanc entier frais                                            ,poissonnerie ,"unité (env. 1,5 kg)"   ,9.79       ,0.653         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/bar-blanc-entier-frais--53999/
Atkins et frères  ,Bouchées de saumon fumé épicées à l'érable frais 250 g            ,poissonnerie ,unité (250g)            ,17.39      ,6.956         ,caisse (8x250g)  ,129.99     ,6.5           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/bouchee-saumon-fume-epice-erable-frais-atkins-et-freres-53091/
Atkins et frères  ,Bouchées de saumon fumées à l'érable 150 g                        ,poissonnerie ,unité (250g)            ,10.99      ,4.396         ,caisse (20x250g) ,199.99     ,4.0           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/bouchee-saumon-fume-erable-atkins-et-freres-53093/
Pur Mer           ,Bourgot mariné 130 g                                              ,poissonnerie ,unité (130g)            ,6.99       ,5.377         ,caisse (12x130g) ,79.99      ,5.128         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/fruit-de-mer/autres-fruits-de-mer/bourgot-marine-pur-mer-53113/
Not available     ,Brochette de crevette 26/30 décongelée                            ,poissonnerie ,unité (1un)             ,1.99       ,1.99          ,caisse           ,23.89      ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/crevette/brochette-de-crevette-2630-decongelee--43770/
Not available     ,Brochettes de crevettes congelées                                 ,poissonnerie ,"unité (env. 0,24 kg)"  ,25.33      ,10.554        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/crevette/brochette-de-crevette-congele--kg--53135/
Not available     ,Brochettes de crevettes décongelées                               ,poissonnerie ,"unité (env. 0,24 kg)"  ,25.33      ,10.554        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/crevette/brochette-de-crevette-decongele--kg--53136/
