Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Saputo,13% Ricotta Fiorella régulière 475 g,produits-laitiers,unité (475g),6.99,1.472,caisse (12X475g),61.99,1.088,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/ricotta-et-mascarpone/ricotta-reguliere-saputo-31855/
14 Arpents,14 arpents 250 g,produits-laitiers,"unité (env. 0,25 kg)",45.49,18.196,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-de-specialite/fromage-fermier-14-arpents-coupe-14-arpents-36777/
Emma,Abruzzese pecorino 450 g,produits-laitiers,"unité (env. 0,45 kg)",33.29,7.398,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/chevre-et-brebis/fromage-de-chevre-pecorino-abruzzese-coupe-emma-10093/
Alfred,Alfred le fermier 200 g,produits-laitiers,"unité (env. 0,2 kg)",47.99,23.995,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-de-specialite/fromage-au-lait-cru-alfred-le-fermier-coupe-alfred-07789/
Babybel,Babybel biologique 100 g,produits-laitiers,unité (100g),4.49,4.49,caisse (12x100g),48.99,4.083,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-a-tartiner/fromage-fondu-biologique-mini-5-portions-babybel-31080/
Gay Lea,Beurre fouetté en portion x600,produits-laitiers,N/A,N/A,N/A,caisse (600X4.5g),49.99,1.851,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/beurre-et-margarine/beurre/beurre-fouette-en-portion-gay-lea-21827/
Beatrice,Beurre non salé 454 g,produits-laitiers,unité (454g),5.69,1.253,caisse (20X454g),108.99,1.2,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/beurre-et-margarine/beurre/beurre-non-sale-beatrice-27577/
Beatrice,Beurre salé 454 g,produits-laitiers,unité (454g),5.69,1.253,caisse (20x454g),108.99,1.2,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/beurre-et-margarine/beurre/beurre-sale-beatrice-06046/
Natrel,Beurre salé 454 g,produits-laitiers,unité (454g),4.69,1.033,caisse (40X454g),179.99,0.991,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/beurre-et-margarine/beurre/beurre-sale-natrel-36334/
Natrel,Beurre salé en portion x300,produits-laitiers,N/A,N/A,N/A,caisse (300X4.5g),32.49,2.407,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/beurre-et-margarine/beurre/beurre-sale-en-portion-natrel-35947/
Natrel,Beurre salé sans lactose 250 g,produits-laitiers,unité (250g),5.39,2.156,caisse (30x250g),145.99,1.947,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/beurre-et-margarine/beurre/beurre-sale-sans-lactose-natrel-31796/
Naturoeuf,Blancs d'œufs liquides 1 kg,produits-laitiers,unité (1kg),4.99,0.499,caisse (12x1kg),53.99,0.45,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/oeuf/oeuf-blanc-liquide-frais-naturoeuf-27997/
Auvergne,"Bleu d'Auvergne 1,3 kg",produits-laitiers,"unité (env. 1,3 kg)",27.99,2.153,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-bleu/bleu-dauvergne-meule-auvergne-07121/
Auvergne,Bleu d'Auvergne 300 g,produits-laitiers,"unité (env. 0,3 kg)",29.99,9.997,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-bleu/bleu-dauvergne-coupe-auvergne-07122/
St-Benoit,Bleu fumé,produits-laitiers,unité (env. 1 kg),32.99,3.299,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-bleu/fromage-bleu-fume-coupe-st-benoit-34657/
Emma,"Bocconcini 1,5 kg",produits-laitiers,unité (1.5kg),27.99,1.866,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/bocconcini/bocconcini-emma-10245/
Tre Stelle,Bocconcini 200 g,produits-laitiers,unité (200g),3.79,1.895,caisse (6X200g),19.99,1.666,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/bocconcini/bocconcini-tre-stelle-26572/
Saputo,Bocconcini canadien 200 g,produits-laitiers,unité (200g),5.19,2.595,caisse (6X200g),28.99,2.416,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/bocconcini/bocconcini-canadien-saputo-31857/
