Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Première Moisson,#Pain mini roll cuit,surgele,N/A,N/A,N/A,caisse (100x35g),23.99,0.685,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/pain-surgele/pain-mini-roll-cuit-premiere-moisson-16112/
Bâton Rouge,4 burgers de bœuf assaisonnés surgelés 624 g,surgele,unité (624g),10.99,1.761,caisse (10x624g),92.99,1.49,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/boeuf-surgele/4-burgers-de-boeuf-assaisonnes-surgeles-baton-rouge-32512/
Ravifruit,Abricots oreillons IQF surgelés 1 kg,surgele,unité (1kg),11.49,1.149,caisse (5x1kg),49.99,1.0,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/abricot-oreillon-iqf-surgele-ravifruit-33795/
Janes,Aiglefin pané surgelé 580 g,surgele,unité (580g),13.49,2.326,caisse (6x580g),71.99,2.069,https://www.mayrand.ca/fr/nos-produits/surgele/poisson-surgele/poisson-pane-surgele/filet-daiglefin-pane-congele-janes-20231/
Flamingo,Ailes de poulet BBQ rôties au four surgelées 650 g,surgele,unité (650g),10.99,1.691,caisse (12x650g),119.99,1.538,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/aile-de-poulet-bbq-rotie-au-four-surgelee-flamingo-34625/
St-Hubert,Ailes de poulet BBQ épicées surgelées 575 g,surgele,unité (575g),12.59,2.19,caisse (12x575g),133.99,1.942,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/aile-de-poulet-bbq-epicee-surgelee-st-hubert-31652/
St-Hubert,Ailes de poulet bbq douces surgelées 575 g,surgele,unité (575g),12.59,2.19,caisse (12x575g),133.99,1.942,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/aile-de-poulet-bbq-douce-surgelee-st-hubert-31653/
Flamingo,Ailes de poulet buffalo rôties au four surgelées 650 g,surgele,unité (650g),10.99,1.691,caisse (12x650g),119.99,1.538,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/aile-de-poulet-buffalo-rotie-au-four-surgelee-flamingo-34609/
Maple Lodge,Ailes de poulet buffalo épicées halal surgelées 908 g,surgele,unité (908g),16.99,1.871,caisse (6x908g),90.99,1.67,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/viande-halal-surgelee/ailes-de-poulet-buffalo-epicees-halal-surgelees-maple-lodge-01047/
Varazano,Ailes de poulet crues assaisonnées surgelées 4 kg,surgele,N/A,N/A,N/A,caisse (4kg),38.99,0.975,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/ailes-de-poulet-crues-assaisonnees-surgelees-varazano-25988/
Varazano,Ailes de poulet cuites douces surgelées 4 kg,surgele,N/A,N/A,N/A,caisse (4kg),49.99,1.25,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/ailes-de-poulet-cuites-douces-congelees-varazano-14359/
Maple Lodge,Ailes de poulet genre BBQ halal 908 g,surgele,unité (908g),16.99,1.871,caisse (6x908g),90.99,1.67,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/ailes-de-poulet-genre-bbq-halal-surgelees-maple-lodge-01048/
Flamingo,Ailes de poulet miel et ail rôties au four surgelées 650 g,surgele,unité (650g),10.99,1.691,caisse (12x650g),119.99,1.538,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/aile-de-poulet-miel-et-ail-rotie-au-four-surgelee-flamingo-34611/
Maple Leaf,Ailes de poulet épicées 2 kg,surgele,unité (2kg),29.99,1.5,caisse (2x2kg),53.99,1.35,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/ailes-de-poulet-epicees-piquantes-surgelees-maple-leaf-23162/
Varazano,Ailes de poulet épicées cuites surgelées 4 kg,surgele,N/A,N/A,N/A,caisse (4kg),49.99,1.25,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/ailes-de-poulet-epicees-cuites-surgelees-varazano-45281/
Flamingo,Ailes de poulet épicées piquantes surgelées 4 kg,surgele,N/A,N/A,N/A,caisse (4kg),54.99,1.375,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/ailes-de-poulet-epicees-et-piquantes-surgelees-flamingo-24013/
Saroma,Ailes de poulet épicées pré-cuites congelées,surgele,unité (1.9kg),22.99,1.21,caisse (2x1.9kg),43.99,1.158,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/volaille-surgelee/ailes-de-poulet-epicees-pre-cuites-congelees-saroma-34927/
Below Zero,Ananas en morceaux surgelés 1 kg,surgele,unité (1kg),4.39,0.439,caisse (5X1kg),19.99,0.4,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/ananas-en-morceaux-surgeles-below-zero-32661/
Aegean,Anchois 1 lb,surgele,unité (1lb),3.99,0.88,caisse (20x1lb),61.99,0.683,https://www.mayrand.ca/fr/nos-produits/surgele/poisson-surgele/poissons-surgeles/anchois-surgele-aegean-22129/
Aqua Gems,Arancini aux crevettes surgelés,surgele,unité (360g),6.99,1.942,caisse (12x360g),73.99,1.713,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/crevette-crue-surgelee/arancini-aux-crevettes-surgele-aqua-gems-33945/
Alasko,Arilles de grenade surgelées 1 kg,surgele,unité (1kg),15.69,1.569,caisse (5X1kg),73.99,1.48,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/arilles-de-grenade-surgelees-alasko-33892/
Bridor,Assortiment de friandise 35 g x200,surgele,N/A,N/A,N/A,caisse (200x35g),112.99,1.614,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/viennoiserie-surgelee/friandise-mini-assortie-surgelee-bridor-25954/
Bridor,Assortiment de mini viennoiseries 45 g x80,surgele,N/A,N/A,N/A,caisse (80x45g),48.99,1.361,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/viennoiserie-surgelee/panier-de-mini-viennoiseries-assorties-surgelees-bridor-34564/
Campbell,Assortiment de purées x24,surgele,N/A,N/A,N/A,caisse (24x250g),67.99,1.133,https://www.mayrand.ca/fr/nos-produits/surgele/mets-surgeles/puree-surgelee/assortiment-de-purees-congele-campbell-11514/
Bonduelle,Aubergine grillée 1 kg,surgele,unité (1kg),7.29,0.729,caisse (7x1kg),47.99,0.686,https://www.mayrand.ca/fr/nos-produits/surgele/legumes-surgeles/aubergine-grillee-surgelee-bonduelle-02432/
Nutri Gourmet,Avocat demi 4 lb,surgele,unité (4lb),26.99,1.488,caisse (3x4lb),72.99,1.341,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/avocat-demi-surgele-nutri-gourmet-25390/
Olymel,Bacon découenné tranché surgelé 5 kg,surgele,N/A,N/A,N/A,caisse (5kg),53.99,1.08,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/porc-surgele/bacon-2-surgele-olymel-35665/
Olymel,Bacon découenné tranché surgelé 5 kg,surgele,N/A,N/A,N/A,caisse (5kg),53.99,1.08,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/porc-surgele/bacon-2-surgele-olymel-35665/
Ace,Baguette blanche biologique congelée ,surgele,unité (228g),1.99,0.873,caisse (35x228g),58.99,0.739,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/pain-surgele/baguette-blanche-biologique-congelee-ace-31319/
Saroma,Baguette française surgelée 300 g,surgele,N/A,N/A,N/A,caisse (20x300g),19.99,0.333,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/pain-surgele/baguette-francaise-surgelee-saroma-49970/
Cueilleurs de Tingwick,Baies d'argousier surgelées 1 kg,surgele,unité (1kg),25.99,2.599,caisse (6x1kg),145.99,2.433,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/baie-dargousier-surgelee-cueilleurs-de-tingwick-34071/
Alasko,Baies de Saskatoon surgelées 1 kg,surgele,unité (1kg),9.49,0.949,caisse (5X1kg),44.99,0.9,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/baie-de-saskatoon-surgelee-alasko-33889/
Big Banana,Banane plantain sucrée 312 g,surgele,unité (312g),2.79,0.894,caisse (12x312g),25.99,0.694,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/banane-plantain-sucree-congelee-big-banana-11113/
Guilmath,Banane plantain verte tranchée 3 kg,surgele,unité (3kg),34.99,1.166,caisse (4x3kg),124.99,1.042,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/banane-plantain-verte-tranchee-guilmath-18752/
Big Banana,Bananes plantain tostones congelées 312 g,surgele,unité (312g),3.29,1.054,caisse (12x312g),32.49,0.868,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/banane-plantain-tostones-congelee-big-banana-31469/
Iceberg,Barre au lait glacé enrobage chocolat 12 x 60 ml,surgele,unité (12x60ml),4.39,36.583,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/surgele/creme-glacee-et-sorbet/barre-au-lait-glace-enrobage-chocolat-iceberg-07816/
Nestlé,Barre glacée Caramilk 80 ml,surgele,unité (5x80ml),5.99,119.8,caisse (6x5x80ml),31.99,1.333,https://www.mayrand.ca/fr/nos-produits/surgele/creme-glacee-et-sorbet/barre-caramilk-cadbury-glacee-nestle-37056/
Nestlé,Barre glacée Kit Kat 80 ml,surgele,unité (5x80ml),5.99,119.8,caisse (6x5x80ml),31.99,1.333,https://www.mayrand.ca/fr/nos-produits/surgele/creme-glacee-et-sorbet/barre-kit-kat-glacee-nestle-37055/
Haagen dazs,Barre glacée vanille et  caramel salé 88 ml,surgele,unité (3x88ml),5.99,199.667,caisse (12x3x88ml),63.99,2.02,https://www.mayrand.ca/fr/nos-produits/surgele/creme-glacee-et-sorbet/barre-creme-glacee-vanille-caramel-sale-haagen-dazs-37009/
Chapman,Barres de crème glacée vanille enrobées au chocolat 75 ml x18,surgele,unité (18x75ml),6.19,34.389,caisse (6x18x75ml),33.99,0.42,https://www.mayrand.ca/fr/nos-produits/surgele/creme-glacee-et-sorbet/barre-creme-glacee-van.-enrobee-choco-super-frost-chapman-32190/
Iceberg,Barres de sorbet laitier à l'orange enrobage chocolaté 12 x 60 ml,surgele,unité (12X60ml),4.39,36.583,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/surgele/creme-glacee-et-sorbet/barre-sorbet-a-lorange-enrobage-chocolate-surgel-iceberg-48329/
Gardein,Beignet végé-crabe 205 g,surgele,unité (205g),5.49,2.678,caisse (8x205g),42.99,2.621,https://www.mayrand.ca/fr/nos-produits/surgele/mets-surgeles/plat-surgele/beignet-vege-crabe-surgele-gardein-29508/
English Bay,Biscuit au caramel salé et chocolat x12,surgele,N/A,N/A,N/A,caisse (170x1.5oz),53.99,0.747,https://www.mayrand.ca/fr/nos-produits/surgele/patisserie-surgelee/patisserie-surgelee/biscuit-caramel-sale-et-chocolat-surgele-english-bay-23127/
English Bay,Biscuit double chocolat 56 g x128,surgele,N/A,N/A,N/A,caisse (128x56g),49.99,0.697,https://www.mayrand.ca/fr/nos-produits/surgele/patisserie-surgelee/patisserie-surgelee/biscuit-double-chocolat-surgele-english-bay-25858/
English Bay,Biscuit à l'avoine et raisins 57 g x12,surgele,N/A,N/A,N/A,caisse (128x57g),49.99,0.685,https://www.mayrand.ca/fr/nos-produits/surgele/patisserie-surgelee/patisserie-surgelee/biscuit-avoine-et-raisin-surgele-english-bay-25860/
English bay,Biscuits au beurre d'arachides 56 g x12,surgele,N/A,N/A,N/A,caisse (128x56g),49.99,0.697,https://www.mayrand.ca/fr/nos-produits/surgele/patisserie-surgelee/patisserie-surgelee/biscuit-au-beurre-darachide-surgele-english-bay-44272/
English Bay,Biscuits au chocolat blanc et macadamia 57 g x12,surgele,N/A,N/A,N/A,caisse (128x57g),53.99,0.74,https://www.mayrand.ca/fr/nos-produits/surgele/patisserie-surgelee/patisserie-surgelee/biscuit-chocolat-blanc-et-macadam-surgele-english-bay-25859/
Campbell,"Bisque crémeuse aux tomates et basilic 1,81 kg",surgele,unité (1.81kg),14.99,0.828,caisse (3x1.81kg),41.99,0.773,https://www.mayrand.ca/fr/nos-produits/surgele/mets-surgeles/soupe-surgelee/bisque-de-creme-de-tomate-et-basilic-congele-campbell-16433/
Au P'TIT Marché,Bisque de homard 275 g,surgele,unité (275g),2.99,1.087,caisse (12x275g),40.99,1.242,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/Fruits-de-mer-divers-surgeles/bisque-de-homard-au-ptit-marche-53056/
Campbell,Bisque de homard 4 lb,surgele,unité (4lb),18.49,1.019,caisse (4X4lb),69.99,0.964,https://www.mayrand.ca/fr/nos-produits/surgele/mets-surgeles/soupe-surgelee/bisque-de-homard-surgele-campbell-25152/
Ferme Burnbrae,Blanc d’œuf congelé 1 kg,surgele,unité (1kg),4.99,0.499,caisse (12X1kg),57.99,0.483,https://www.mayrand.ca/fr/nos-produits/surgele/patisserie-surgelee/oeuf-surgele/blanc-doeuf-congele-ferme-burnbrae-35772/
Below Zero,Bleuets sauvages surgelés 1 kg,surgele,unité (1kg),7.99,0.799,caisse (5x1kg),36.99,0.74,https://www.mayrand.ca/fr/nos-produits/surgele/fruitetpuree/bleuets-sauvages-surgeles-below-zero-31429/
Philly's,Boeuf à sandwich surgelé 10 lb,surgele,N/A,N/A,N/A,caisse (10lb),63.99,1.411,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/boeuf-surgele/boeuf-a-sandwich-3oz-surgele-phillys-25000/
Casa Morena,Bouchées aux noisettes 1 kg,surgele,unité (1kg),16.29,1.629,caisse (5x1kg),73.99,1.48,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/viennoiserie-surgelee/bouchee-de-noisette-casa-morena-27583/
Clear Ocean,Bouchées de pétoncle enrobées de bacon surgelées 260 g,surgele,unité (260g),7.99,3.073,caisse (20x260g),155.99,3.0,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/crevette-crue-surgelee/bouchees-de-petoncle-enrobees-de-bacon-clear-ocean-33751/
Gardein,Bouchées végétariennes aigre douce surgelées 255 g,surgele,unité (255g),5.49,2.153,caisse (8x255g),42.99,2.107,https://www.mayrand.ca/fr/nos-produits/surgele/mets-surgeles/plat-surgele/bouchee-vege-porc-aigre-doux-surgelee-gardein-32393/
Kim Lam,Bouillon pour soupe wonton congelé 1 L,surgele,unité (1L),4.99,0.499,caisse (6x1L),28.99,0.483,https://www.mayrand.ca/fr/nos-produits/surgele/mets-surgeles/plat-surgele/bouillon-soupe-wonton-congele-kim-lam-31769/
Vinsar,Boule de pâte à pizza x12,surgele,unité (12x8oz),9.99,2.937,caisse (4X12X8oz),34.99,0.321,https://www.mayrand.ca/fr/nos-produits/surgele/pizza-c354cf11/pate-a-pizza-surgelee/boule-de-pate-a-pizza-congelee-vinsar-18790/
Vinsar,Boule de pâte à pizza x48,surgele,N/A,N/A,N/A,caisse (48x8oz),30.99,0.285,https://www.mayrand.ca/fr/nos-produits/surgele/pizza-c354cf11/pate-a-pizza-surgelee/boule-de-pate-a-pizza-surgelee-vinsar-00143/
Vinsar,Boule de pâte à pizza x5,surgele,unité (5x20oz),10.99,7.753,caisse (3x5x20oz),29.99,0.353,https://www.mayrand.ca/fr/nos-produits/surgele/pizza-c354cf11/pate-a-pizza-surgelee/boule-de-pate-a-pizza-congelee-vinsar-18791/
Fruits de mer Québec,Boule à la morue 4 x 85 g,surgele,unité (4X85g),12.99,324.75,caisse (12X4X85g),140.99,3.456,https://www.mayrand.ca/fr/nos-produits/surgele/poisson-surgele/morue-surgelee/boule-a-la-morue-surgelee-fruits-de-mer-quebec-28350/
Petite Pâtissière,Boules de pâte à pizza surgelées 454 g x4,surgele,unité (1x4x454g),6.39,639.0,caisse (6x4x454g),34.99,0.321,https://www.mayrand.ca/fr/nos-produits/surgele/pizza-c354cf11/pate-a-pizza-surgelee/boule-de-pate-a-pizza-surgele-petite-patissiere-35517/
Schneiders,Boulettes de viande surgelée x450,surgele,N/A,N/A,N/A,caisse (450X10g),68.99,1.533,https://www.mayrand.ca/fr/nos-produits/surgele/viande-surgelee/boeuf-surgele/boulettes-de-viande-surgelee-schneiders-44524/
Gardein,Boulettes sans viande surgelées 360 g,surgele,unité (360g),5.49,1.525,caisse (8x360g),42.99,1.493,https://www.mayrand.ca/fr/nos-produits/surgele/mets-surgeles/plat-surgele/boulette-sans-viande-surgelee-gardein-32399/
Bridor,Brioche cannelle raisin beurre 100 g,surgele,unité (10x100g),12.49,124.9,caisse (60x100g),67.99,1.133,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/viennoiserie-surgelee/brioche-cannelle-et-raisin-au-beurre-congelee-bridor-04492/
Bridor,Brioche cannelle raisin beurre x10,surgele,unité (10x100g),12.49,124.9,caisse ,74.99,N/A,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/viennoiserie-surgelee/brioche-cannelle-raisin-et-beurre-surgelee-bridor-25896/
Bridor,Brioches à la cannelle 130 g x6,surgele,unité (6x130g),7.99,133.167,caisse (30x130g),35.99,0.923,https://www.mayrand.ca/fr/nos-produits/surgele/boulangerie-surgelee/viennoiserie-surgelee/brioche-a-la-cannelle-pret-a-cuire-surgelee-bridor-34569/
Arctic Garden,Brisure de brocoli 2 kg,surgele,unité (2kg),5.79,0.289,caisse (6X2kg),31.99,0.267,https://www.mayrand.ca/fr/nos-produits/surgele/legumes-surgeles/legumes-surgeles/brisure-de-brocoli-surgele-arctic-garden-25720/
Toppits,Brochettes de crevettes crues 756 g,surgele,unité (756g),19.99,2.644,caisse (6x756g),111.99,2.469,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/crevette-crue-surgelee/crevette-crue-sur-brochette-surgelee-x5-toppits-28047/
Original Cake,Brownie à la hollandaise,surgele,unité (1un),28.99,28.99,caisse (2x1un),53.99,26.995,https://www.mayrand.ca/fr/nos-produits/surgele/patisserie-surgelee/gateau-et-tarte-surgeles/brownie-a-la-hollandaise-congele-original-cake-13900/
