Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Black Panther,-,-,-,"$700,059,566","4,084","$700,059,566",Feb 16,Walt Disney Studios Motion Pictures,false
2,Avengers: Infinity War,-,-,-,"$678,815,482","4,474","$678,815,482",Apr 27,Walt Disney Studios Motion Pictures,false
3,Incredibles 2,-,-,-,"$608,581,744","4,410","$608,581,744",Jun 15,Walt Disney Studios Motion Pictures,false
4,Jurassic World: Fallen Kingdom,-,-,-,"$417,719,760","4,485","$417,719,760",Jun 22,Universal Pictures,false
5,Deadpool 2,-,-,-,"$318,491,426","4,349","$318,491,426",May 18,Twentieth Century Fox,false
6,The Grinch,-,-,-,"$266,280,410","4,141","$270,620,950",Nov 9,Universal Pictures,false
7,Jumanji: Welcome to the Jungle,-,-,-,"$235,512,923","3,849","$404,515,480",Dec 20,Sony Pictures Entertainment (SPE),false
8,Mission: Impossible - Fallout,-,-,-,"$220,159,104","4,395","$220,159,104",Jul 27,Paramount Pictures,false
9,Ant-Man and the Wasp,-,-,-,"$216,648,740","4,206","$216,648,740",Jul 6,Walt Disney Studios Motion Pictures,false
10,Solo: A Star Wars Story,-,-,-,"$213,767,512","4,381","$213,767,512",May 25,Walt Disney Studios Motion Pictures,false
11,Venom,-,-,-,"$213,312,395","4,250","$213,515,506",Oct 5,Sony Pictures Entertainment (SPE),false
12,A Star Is Born,-,-,-,"$201,157,885","3,904","$215,288,866",Oct 5,Warner Bros.,false
13,Aquaman,-,-,-,"$199,059,824","4,184","$335,061,807",Dec 21,Warner Bros.,false
14,Bohemian Rhapsody,-,-,-,"$189,813,133","4,000","$216,428,042",Nov 2,Twentieth Century Fox,false
15,A Quiet Place,-,-,-,"$188,024,361","3,808","$188,024,361",Apr 6,Paramount Pictures,false
16,Ralph Breaks the Internet,-,-,-,"$177,616,854","4,017","$201,091,711",Nov 21,Walt Disney Studios Motion Pictures,false
17,Crazy Rich Asians,-,-,-,"$174,039,071","3,865","$174,532,921",Aug 15,Warner Bros.,false
18,Hotel Transylvania 3: Summer Vacation,-,-,-,"$168,786,400","4,267","$167,510,016",Jul 13,Sony Pictures Entertainment (SPE),false
19,Halloween,-,-,-,"$159,336,510","3,990","$159,342,015",Oct 19,Universal Pictures,false
20,Fantastic Beasts: The Crimes of Grindelwald,-,-,-,"$156,781,859","4,163","$159,555,901",Nov 16,Warner Bros.,false
