Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,The Croods: A New Age,-,-,-,"$18,538,380","2,211","$50,872,660",25-Nov,Universal Pictures,FALSE
2,Wonder Woman 1984,-,-,-,"$17,050,000","2,013","$42,692,000",25-Dec,Warner Bros.,FALSE
3,The Marksman,-,-,-,"$11,457,055","2,018","$11,457,055",15-Jan,Open Road Films (II),FALSE
4,The Little Things,-,-,-,"$10,475,000","2,206","$10,700,000",29-Jan,Warner Bros.,FALSE
5,Monster Hunter,-,-,-,"$8,399,486","1,817","$13,417,889",18-Dec,Screen Gems,FALSE
6,News of the World,-,-,-,"$7,986,195","1,986","$11,703,365",25-Dec,Universal Pictures,FALSE
7,Promising Young Woman,-,-,-,"$3,897,425","1,448","$5,105,605",25-Dec,Focus Features,FALSE
8,Fatale,-,-,-,"$3,771,951","1,222","$6,160,084",18-Dec,Lionsgate,FALSE
9,Judas and the Black Messiah,-,-,-,"$3,390,000","1,888","$2,485,000",12-Feb,Warner Bros.,FALSE
10,The War with Grandpa,-,-,-,"$1,635,997","2,365","$20,338,191",09-Oct,101 Studios,FALSE
11,Land,-,-,-,"$1,626,215","1,251","$1,626,215",12-Feb,Focus Features,FALSE
12,Pinocchio,-,-,-,"$1,323,229",824,"$1,812,067",25-Dec,Roadside Attractions,FALSE
13,Come Play,-,-,-,"$864,925","2,183","$10,370,465",30-Oct,Focus Features,FALSE
14,Our Friend,-,-,-,"$653,219",818,"$653,219",22-Jan,Gravitas Ventures,FALSE
15,Nomadland,-,-,-,"$503,000","1,175","$503,000",19-Feb,Searchlight Pictures,FALSE
16,The Mauritanian,-,-,-,"$351,624",287,"$351,624",12-Feb,STX Entertainment,FALSE
17,"The Emperor's New Groove
2021 Re-release",-,-,-,"$334,000",744,"$334,000",15-Jan,Walt Disney Studios Motion Pictures,FALSE
18,Freaky,-,-,-,"$328,795","2,472","$9,030,855",13-Nov,Universal Pictures,FALSE
19,Supernova,-,-,-,"$233,532",330,"$233,532",29-Jan,Bleecker Street Media,FALSE
20,Half Brothers,-,-,-,"$225,830","1,386","$2,241,980",04-Dec,Focus Features,FALSE
21,Willy's Wonderland,-,-,-,"$211,070",171,"$211,070",12-Feb,Screen Media Films,FALSE
22,Earwig and the Witch,-,-,-,"$168,079",430,"$168,079",03-Feb,GKIDS,FALSE
23,"Groundhog Day
2021 Re-release",-,-,-,"$166,447",845,"$166,447",29-Jan,Sony Pictures Classics,FALSE
24,"The Lord of the Rings: The Fellowship of the Ring
2020 Re-release",-,-,-,"$166,000",150,"$166,000",05-Feb,New Line Cinema,FALSE
25,Heaven,-,-,-,"$148,091",250,"$259,323",02-Oct,LAMA Distribution,FALSE
26,No Man's Land,-,-,-,"$136,040",254,"$136,798",22-Jan,IFC Films,FALSE
27,"Alien
2020 Re-release",-,-,-,"$135,000",505,"$135,000",01-Jan,Walt Disney Studios Motion Pictures,FALSE
28,The Reckoning,-,-,-,"$134,802",175,"$134,802",05-Feb,-,FALSE
29,"Jurassic World
2021 Re-release",-,-,-,"$115,000",200,"$115,000",08-Jan,Universal Pictures,FALSE
30,"Abominable
2021 Re-release",-,-,-,"$110,000",185,"$110,000",22-Jan,Universal Pictures,FALSE
31,The World to Come,-,-,-,"$90,417",277,"$90,417",12-Feb,Bleecker Street Media,FALSE
32,Blithe Spirit,-,-,-,"$88,559",239,"$88,559",19-Feb,IFC Films,FALSE
33,Psycho Goreman,-,-,-,"$86,235",70,"$86,235",22-Jan,RLJE Films,FALSE
34,A Writer's Odyssey,-,-,-,"$73,957",117,"$73,957",12-Feb,CMC Pictures,FALSE
35,"Remember the Titans
2021 Re-release",-,-,-,"$65,000",730,"$65,000",29-Jan,Walt Disney Studios Motion Pictures,FALSE
36,"Sing
2021 Re-release",-,-,-,"$53,000",85,"$53,000",15-Jan,Universal Pictures,FALSE
37,MLK/FBI,-,-,-,"$45,200",120,"$45,200",15-Jan,IFC Films,FALSE
38,Dara of Jasenovac,-,-,-,"$42,320",23,"$42,320",05-Feb,101 Studios,FALSE
39,Always and Forever,-,-,-,"$41,726",11,"$197,464",20-Nov,Variance Films,FALSE
40,Some Kind of Heaven,-,-,-,"$40,601",79,"$40,601",08-Jan,Magnolia Pictures,FALSE
41,Shadow in the Cloud,-,-,-,"$40,000",75,"$40,000",01-Jan,Vertical Entertainment,FALSE
